"date","no2Max","no2RatioMax"
2015-09-16,51,0.329301075268817
2015-09-17,43,1.3022337405899
2015-09-18,134,2.10654288240495
2015-09-19,218,8.31453473468341
2015-09-20,143,4.16883116883117
2015-09-21,81,6.20075757575758
2015-09-22,52,5.02973497091144
2015-09-23,131,3.10924369747899
2015-09-24,91,3.60326086956522
2015-09-25,68,1.72080248387867
2015-09-26,74,2.69241336002198
2015-09-27,97,7.2512077294686
2015-09-28,107,4.21313718782073
2015-09-29,133,2.26153462088374
2015-09-30,112,5.94016515500203
2015-10-01,41,3.67242907801418
2015-10-02,32,6.22571310458867
2015-10-03,107,2.28020311052917
2015-10-04,24,0.76353768348341
2015-10-05,10,5.69259962049336
2015-10-06,39,4.52437106918239
2015-10-07,72,3.55223880597015
2015-10-08,91,1.996336996337
2015-10-09,38,6.04260651629073
2015-10-10,48,2.07023214810461
2015-10-11,29,7.13419913419913
2015-10-12,48,2.73155416012559
2015-10-13,42,4.17721518987342
2015-10-14,61,1.92982456140351
2015-10-15,51,4.06327543424318
2015-10-16,21,1.49063670411985
2015-10-17,72,1.88807139450916
2015-10-18,126,0.121783088235294
2015-10-19,59,1.80890227576975
2015-10-20,38,3.91401037805782
2015-10-21,122,1.56521739130435
2015-10-22,63,2.0314024248618
2015-10-23,83,0.749527743092242
2015-10-24,76,2.68599101628299
2015-10-25,34,2.56969696969697
2015-10-26,18,1.05760690267733
2015-10-27,59,1.59926070884975
2015-10-28,30,1.97211520821868
2015-10-29,27,2.32263397162144
2015-10-30,5,3.66832779623477
2015-10-31,61,1.72714078374456
2015-11-01,29,3.12137560947463
2015-11-02,12,2.90507683330091
2015-11-03,38,2.69448487789099
2015-11-04,33,0.954301075268817
2015-11-05,13,2.39668810527094
2015-11-06,38,0.780885780885781
2015-11-07,25,0.800756620428752
2015-11-08,20,2.82633053221288
2015-11-09,16,6.28477237048666
2015-11-10,37,1.2823275862069
2015-11-11,46,0.209221748400853
2015-11-12,25,1.19613896256359
2015-11-13,22,2.42393975109371
2015-11-14,25,1.1186588557896
2015-11-15,42,-1.04074074074074
2015-11-16,16,2.01957129543336
2015-11-17,67,4.03061224489796
2015-11-18,31,6.89148073022312
2015-11-19,33,2.74925117672229
2015-11-20,56,1.36017272034544
2015-11-21,65,-1.38961544882854
2015-11-22,47,2.58123291831157
2015-11-23,38,2.9228830979378
2015-11-24,43,3.01098901098901
2015-11-25,28,1.11843118277205
2015-11-26,34,1.45464304884595
2015-11-27,76,1.15764705882353
2015-11-28,93,-0.571042107739355
2015-11-29,94,-0.0674229452054793
2015-11-30,40,0.706611570247934
2015-12-01,63,-0.399869109947644
2015-12-02,30,2.31806589106662
2015-12-03,42,0.302889095992545
2015-12-04,71,-0.0900943028602605
2015-12-05,66,-0.457013238137736
2015-12-06,62,2.02666666666667
2015-12-07,62,4.49152542372881
2015-12-08,65,0.0123784261715296
2015-12-09,62,0.658404732762138
2015-12-10,77,0.261615515771526
2015-12-11,57,0.0982728842832468
2015-12-12,49,-0.981346678798908
2015-12-13,60,-1.25965537730244
2015-12-14,76,0.822697332276962
2015-12-15,51,3.60422592442097
2015-12-16,43,0.994652406417112
2015-12-17,55,2.52490421455939
2015-12-18,54,0.670992245608482
2015-12-19,43,0.226597611608098
2015-12-20,40,2.36146272855134
2015-12-21,29,-0.58560933600478
2015-12-22,35,-0.128638867033832
2015-12-23,70,0.446581196581197
2015-12-24,72,0.642308975642309
2015-12-25,49,1.81862113402062
2015-12-26,66,0.848348348348349
2015-12-27,55,-0.345054482286677
2015-12-28,51,0.412968879422554
2015-12-29,56,-0.732123339846984
2015-12-30,29,24.1181506849315
