"date","no2Max","no2Avg"
2016-05-23,NA,NA
2016-05-24,NA,NA
2016-05-25,31,10.2307692307692
2016-05-26,35,11.3478260869565
2016-05-27,39,7.33333333333333
2016-05-28,35,5.41666666666667
2016-05-29,73,29.5416666666667
2016-05-30,89,24.4166666666667
2016-05-31,48,18.125
2016-06-01,40.18,7.1178947368421
2016-06-02,46.49,9.91666666666667
2016-06-03,54.15,9.08
2016-06-04,91.27,18.73125
2016-06-05,109.05,22.4579166666667
2016-06-06,32.33,4.11208333333333
2016-06-07,39.03,8.15416666666667
2016-06-08,31.95,3.76291666666667
2016-06-09,23.92,4.39304347826087
2016-06-10,49.75,5.27833333333333
2016-06-11,36.74,5.51
2016-06-12,43.05,9.13666666666667
2016-06-13,36.54,-1.3475
2016-06-14,57.21,6.87125
2016-06-15,58.35,10.8690476190476
2016-06-16,42.47,5.84333333333334
2016-06-17,54.15,10.9454166666667
2016-06-18,90.11,27.4408333333333
2016-06-19,39.03,11.77375
2016-06-20,94.13,22.265
2016-06-21,50.7,7.67666666666666
2016-06-22,37.69,9.46208333333333
2016-06-23,71.75,13.5673913043478
2016-06-24,58.55,22.7283333333333
2016-06-25,153.44,24.0845833333333
2016-06-26,46.49,24.3638888888889
2016-06-27,13.97,-1.61
2016-06-28,44.58,12.4833333333333
2016-06-29,36.16,4.19045454545454
2016-06-30,68.3,8.70047619047619
2016-07-01,42.28,11.62
2016-07-02,59.31,13.3370833333333
2016-07-03,32.91,9.03208333333333
2016-07-04,22.76,-9.38458333333333
2016-07-05,20.66,-2.1035
2016-07-06,30.23,-0.972499999999998
2016-07-07,62.94,15.4552173913043
2016-07-08,163.39,46.3820833333333
2016-07-09,125.13,27.9583333333333
2016-07-10,94.33,24.73625
2016-07-11,52.04,6.89666666666667
2016-07-12,48.98,9.27421052631579
2016-07-13,33.1,10.2313043478261
2016-07-14,43.24,6.7275
2016-07-15,54.72,14.6817391304348
2016-07-16,44.19,11.8633333333333
2016-07-17,97,23.0870833333333
2016-07-18,75.19,17.2279166666667
2016-07-19,54.34,14.5515
2016-07-20,34.05,13.3404545454545
2016-07-21,57.01,11.8622727272727
2016-07-22,25.83,8.17533333333333
2016-07-23,96.62,19.7866666666667
2016-07-24,66.96,25.6916666666667
2016-07-25,47.64,4.94458333333333
2016-07-26,18.94,-0.00125000000000079
