"date","date2","max.hour","max2.hour","max3.hour","max.NO2","max2.NO2","max3.NO2","max.NOx","max2.NOx","max3.NOx","max.CO","max2.CO","max3.CO","meanNO2","aqhi_daymax","ws_SF","ws_KP","wd_wgl","UV_Max"
2015-07-29,2015-07-29,22,21,19,59,58,44,203,210,156,60,260,20,22.1739130434783,4,5,5.6,190,11
2015-07-30,2015-07-30,17,19,20,45,41,40,177,178,163,30,220,240,-33.4782608695652,4,6.2,5.8,190,10
2015-07-31,2015-07-31,19,22,23,56,52,52,168,194,206,-90,-10,10,-77.7777777777778,4,7.6,6,70,12
2015-08-01,2015-08-01,6,23,0,39,23,17,142,71,66,-110,-120,-20,-60.8333333333333,3,11.3,6.4,20,12
2015-08-02,2015-08-02,15,6,18,36,26,20,152,89,69,200,70,180,27.9166666666667,3,8.9,7.8,100,12
2015-08-03,2015-08-03,19,21,17,60,55,54,215,183,207,-60,-10,70,-49.5833333333333,5,4.6,3.8,20,12
2015-08-04,2015-08-04,18,21,23,63,55,49,132,75,153,-240,-130,50,-78.75,6,2.5,4.1,10,9
2015-08-05,2015-08-05,18,19,22,66,66,56,257,206,174,-40,-230,-180,-110.416666666667,5,5.4,5.7,220,12
2015-08-06,2015-08-06,21,22,20,83,68,59,132,119,98,-200,-320,30,-78.695652173913,6,4.5,5.1,220,10
2015-08-07,2015-08-07,13,12,14,130,111,99,232,249,162,30,20,10,-109.130434782609,11,9.6,7.1,290,7
2015-08-08,2015-08-08,13,12,14,149,84,81,276,198,238,10,50,0,-89.1304347826087,10,16.8,7.6,290,9
2015-08-09,2015-08-09,13,12,15,161,140,90,523,528,280,400,110,0,40,9,15.5,8,220,11
2015-08-10,2015-08-10,19,23,7,76,49,36,306,149,181,-340,90,-70,-116.25,5,5.8,5.8,230,6
2015-08-11,2015-08-11,21,22,15,107,107,76,372,426,287,350,210,30,-51.4285714285714,5,3.5,6.1,220,11
2015-08-12,2015-08-12,12,11,22,75,69,40,313,329,134,30,190,-90,-27.3684210526316,5,3.9,6,220,12
2015-08-13,2015-08-13,22,20,15,62,27,23,193,56,31,-130,40,-150,-136.666666666667,4,4.7,6.4,230,4
2015-08-14,2015-08-14,21,22,6,104,72,44,322,166,203,180,-50,80,-112.631578947368,7,4.3,3.1,210,3
2015-08-15,2015-08-15,18,17,23,69,49,49,214,108,280,-130,-140,350,-12.5,6,4.8,3.9,220,3
2015-08-16,2015-08-16,13,23,17,62,54,50,218,252,171,70,370,-30,-10.4347826086957,4,9.1,5.9,230,9
