"year","day","type","site","variable","value"
2015,17,"ws","tun","X2",5.1
2015,18,"ws","tun","X2",8.6
2015,19,"ws","tun","X2",12.4
2015,20,"ws","tun","X2",8.8
2015,21,"ws","tun","X2",6.7
2015,22,"ws","tun","X2",5.5
2015,23,"ws","tun","X2",6.3
2015,24,"ws","tun","X2",9.7
2015,25,"ws","tun","X2",7.2
2015,26,"ws","tun","X2",7.3
2015,27,"ws","tun","X2",10.7
2015,28,"ws","tun","X2",11.5
2015,29,"ws","tun","X2",-999999
2015,30,"ws","tun","X2",-999999
2015,31,"ws","tun","X2",-999999
2016,1,"ws","tun","X2",14.5
2016,2,"ws","tun","X2",11.8
2016,3,"ws","tun","X2",8.8
2016,4,"ws","tun","X2",8
2016,5,"ws","tun","X2",8.2
2016,6,"ws","tun","X2",10.4
2016,7,"ws","tun","X2",9.1
2016,8,"ws","tun","X2",6.7
2016,9,"ws","tun","X2",6
2016,10,"ws","tun","X2",6.1
2016,11,"ws","tun","X2",5.6
2016,12,"ws","tun","X2",8.2
2016,13,"ws","tun","X2",10
2016,14,"ws","tun","X2",8
2016,15,"ws","tun","X2",15.7
2016,16,"ws","tun","X2",10.1
2016,17,"ws","tun","X2",7.4
2016,18,"ws","tun","X2",5.8
2016,19,"ws","tun","X2",6.4
2016,20,"ws","tun","X2",7
2016,21,"ws","tun","X2",7.5
2016,22,"ws","tun","X2",9
2016,23,"ws","tun","X2",10.8
2016,24,"ws","tun","X2",12.9
2016,25,"ws","tun","X2",8.5
2016,26,"ws","tun","X2",6.8
2016,27,"ws","tun","X2",7.2
2016,28,"ws","tun","X2",5.3
2016,29,"ws","tun","X2",6.3
2016,30,"ws","tun","X2",-999999
2016,31,"ws","tun","X2",-999999
2014,1,"wd","tun","X2",160
2014,2,"wd","tun","X2",150
2014,3,"wd","tun","X2",10
2014,4,"wd","tun","X2",150
2014,5,"wd","tun","X2",160
2014,6,"wd","tun","X2",210
2014,7,"wd","tun","X2",220
2014,8,"wd","tun","X2",20
2014,9,"wd","tun","X2",20
2014,10,"wd","tun","X2",20
2014,11,"wd","tun","X2",20
2014,12,"wd","tun","X2",20
2014,13,"wd","tun","X2",20
2014,14,"wd","tun","X2",20
2014,15,"wd","tun","X2",20
2014,16,"wd","tun","X2",200
2014,17,"wd","tun","X2",210
2014,18,"wd","tun","X2",350
2014,19,"wd","tun","X2",350
2014,20,"wd","tun","X2",30
2014,21,"wd","tun","X2",10
2014,22,"wd","tun","X2",10
2014,23,"wd","tun","X2",150
2014,24,"wd","tun","X2",160
2014,25,"wd","tun","X2",160
2014,26,"wd","tun","X2",200
2014,27,"wd","tun","X2",150
2014,28,"wd","tun","X2",150
2014,29,"wd","tun","X2",-999999
2014,30,"wd","tun","X2",-999999
2014,31,"wd","tun","X2",-999999
2015,1,"wd","tun","X2",20
2015,2,"wd","tun","X2",20
2015,3,"wd","tun","X2",160
2015,4,"wd","tun","X2",20
2015,5,"wd","tun","X2",20
2015,6,"wd","tun","X2",20
2015,7,"wd","tun","X2",350
2015,8,"wd","tun","X2",20
2015,9,"wd","tun","X2",20
2015,10,"wd","tun","X2",160
2015,11,"wd","tun","X2",300
2015,12,"wd","tun","X2",20
2015,13,"wd","tun","X2",160
2015,14,"wd","tun","X2",140
2015,15,"wd","tun","X2",150
2015,16,"wd","tun","X2",300
2015,17,"wd","tun","X2",220
2015,18,"wd","tun","X2",160
2015,19,"wd","tun","X2",150
2015,20,"wd","tun","X2",150
2015,21,"wd","tun","X2",220
2015,22,"wd","tun","X2",160
2015,23,"wd","tun","X2",220
2015,24,"wd","tun","X2",220
2015,25,"wd","tun","X2",150
2015,26,"wd","tun","X2",160
2015,27,"wd","tun","X2",150
2015,28,"wd","tun","X2",160
2015,29,"wd","tun","X2",-999999
2015,30,"wd","tun","X2",-999999
2015,31,"wd","tun","X2",-999999
2016,1,"wd","tun","X2",20
2016,2,"wd","tun","X2",20
2016,3,"wd","tun","X2",20
2016,4,"wd","tun","X2",20
2016,5,"wd","tun","X2",20
2016,6,"wd","tun","X2",10
2016,7,"wd","tun","X2",10
2016,8,"wd","tun","X2",360
2016,9,"wd","tun","X2",350
2016,10,"wd","tun","X2",230
2016,11,"wd","tun","X2",220
2016,12,"wd","tun","X2",150
2016,13,"wd","tun","X2",160
2016,14,"wd","tun","X2",20
2016,15,"wd","tun","X2",20
2016,16,"wd","tun","X2",20
2016,17,"wd","tun","X2",20
2016,18,"wd","tun","X2",20
2016,19,"wd","tun","X2",10
2016,20,"wd","tun","X2",10
2016,21,"wd","tun","X2",140
2016,22,"wd","tun","X2",150
2016,23,"wd","tun","X2",20
2016,24,"wd","tun","X2",20
2016,25,"wd","tun","X2",20
2016,26,"wd","tun","X2",20
2016,27,"wd","tun","X2",20
2016,28,"wd","tun","X2",20
2016,29,"wd","tun","X2",350
2016,30,"wd","tun","X2",-999999
2016,31,"wd","tun","X2",-999999
2014,1,"ws","tap","X2",3.4
2014,2,"ws","tap","X2",3.4
2014,3,"ws","tap","X2",4.5
2014,4,"ws","tap","X2",16
2014,5,"ws","tap","X2",16
2014,6,"ws","tap","X2",4.5
2014,7,"ws","tap","X2",4.6
2014,8,"ws","tap","X2",9.6
2014,9,"ws","tap","X2",17.3
2014,10,"ws","tap","X2",21
2014,11,"ws","tap","X2",13
2014,12,"ws","tap","X2",13.3
2014,13,"ws","tap","X2",18.5
2014,14,"ws","tap","X2",15.5
2014,15,"ws","tap","X2",7.7
2014,16,"ws","tap","X2",12.4
2014,17,"ws","tap","X2",2.7
2014,18,"ws","tap","X2",8.8
2014,19,"ws","tap","X2",17.2
2014,20,"ws","tap","X2",9.8
2014,21,"ws","tap","X2",11.8
2014,22,"ws","tap","X2",8.5
2014,23,"ws","tap","X2",14.5
2014,24,"ws","tap","X2",9.7
2014,25,"ws","tap","X2",5.3
2014,26,"ws","tap","X2",3.3
2014,27,"ws","tap","X2",6.4
2014,28,"ws","tap","X2",11.5
2014,29,"ws","tap","X2",-999999
2014,30,"ws","tap","X2",-999999
2014,31,"ws","tap","X2",-999999
2015,1,"ws","tap","X2",7.5
2015,2,"ws","tap","X2",8
2015,3,"ws","tap","X2",7.4
2015,4,"ws","tap","X2",8.6
2015,5,"ws","tap","X2",13.8
2015,6,"ws","tap","X2",6.2
2015,7,"ws","tap","X2",7
2015,8,"ws","tap","X2",12.8
2015,9,"ws","tap","X2",11.3
2015,10,"ws","tap","X2",8.8
2015,11,"ws","tap","X2",4.5
2015,12,"ws","tap","X2",6.3
2015,13,"ws","tap","X2",5
2015,14,"ws","tap","X2",11.6
2015,15,"ws","tap","X2",3.8
2015,16,"ws","tap","X2",2.9
2015,17,"ws","tap","X2",5.8
2015,18,"ws","tap","X2",17.5
2015,19,"ws","tap","X2",19.5
2015,20,"ws","tap","X2",12
2015,21,"ws","tap","X2",3.2
2015,22,"ws","tap","X2",5.8
2015,23,"ws","tap","X2",7.6
2015,24,"ws","tap","X2",7.3
2015,25,"ws","tap","X2",5.5
2015,26,"ws","tap","X2",4.8
2015,27,"ws","tap","X2",15.5
2015,28,"ws","tap","X2",14.3
2015,29,"ws","tap","X2",-999999
2015,30,"ws","tap","X2",-999999
2015,31,"ws","tap","X2",-999999
2016,1,"ws","tap","X2",15.9
2016,2,"ws","tap","X2",15.3
2016,3,"ws","tap","X2",8.3
2016,4,"ws","tap","X2",7.1
2016,5,"ws","tap","X2",14.6
2016,6,"ws","tap","X2",17.5
2016,7,"ws","tap","X2",10.5
2016,8,"ws","tap","X2",6.2
2016,9,"ws","tap","X2",5.1
2016,10,"ws","tap","X2",3.3
2016,11,"ws","tap","X2",5.7
2016,12,"ws","tap","X2",3.8
2016,13,"ws","tap","X2",7.4
2016,14,"ws","tap","X2",8.2
2016,15,"ws","tap","X2",14.6
2016,16,"ws","tap","X2",\N
2016,17,"ws","tap","X2",\N
2016,18,"ws","tap","X2",2.6
2016,19,"ws","tap","X2",5.6
2016,20,"ws","tap","X2",8.6
2016,21,"ws","tap","X2",13.6
2016,22,"ws","tap","X2",9.9
2016,23,"ws","tap","X2",10.4
2016,24,"ws","tap","X2",12.6
2016,25,"ws","tap","X2",11.3
2016,26,"ws","tap","X2",8.2
2016,27,"ws","tap","X2",7.4
2016,28,"ws","tap","X2",4.8
2016,29,"ws","tap","X2",9
2016,30,"ws","tap","X2",-999999
2016,31,"ws","tap","X2",-999999
2014,1,"wd","tap","X2",120
2014,2,"wd","tap","X2",260
2014,3,"wd","tap","X2",260
2014,4,"wd","tap","X2",120
2014,5,"wd","tap","X2",130
2014,6,"wd","tap","X2",130
2014,7,"wd","tap","X2",120
2014,8,"wd","tap","X2",350
2014,9,"wd","tap","X2",350
2014,10,"wd","tap","X2",350
2014,11,"wd","tap","X2",350
2014,12,"wd","tap","X2",350
2014,13,"wd","tap","X2",350
2014,14,"wd","tap","X2",350
2014,15,"wd","tap","X2",350
2014,16,"wd","tap","X2",140
2014,17,"wd","tap","X2",290
2014,18,"wd","tap","X2",350
2014,19,"wd","tap","X2",350
2014,20,"wd","tap","X2",350
2014,21,"wd","tap","X2",120
2014,22,"wd","tap","X2",130
2014,23,"wd","tap","X2",130
2014,24,"wd","tap","X2",140
2014,25,"wd","tap","X2",130
2014,26,"wd","tap","X2",120
2014,27,"wd","tap","X2",130
2014,28,"wd","tap","X2",140
2014,29,"wd","tap","X2",-999999
2014,30,"wd","tap","X2",-999999
2014,31,"wd","tap","X2",-999999
2015,1,"wd","tap","X2",360
2015,2,"wd","tap","X2",120
2015,3,"wd","tap","X2",130
2015,4,"wd","tap","X2",360
2015,5,"wd","tap","X2",350
2015,6,"wd","tap","X2",350
2015,7,"wd","tap","X2",120
2015,8,"wd","tap","X2",350
2015,9,"wd","tap","X2",120
2015,10,"wd","tap","X2",130
2015,11,"wd","tap","X2",110
2015,12,"wd","tap","X2",330
2015,13,"wd","tap","X2",130
2015,14,"wd","tap","X2",140
2015,15,"wd","tap","X2",280
2015,16,"wd","tap","X2",270
2015,17,"wd","tap","X2",130
2015,18,"wd","tap","X2",130
2015,19,"wd","tap","X2",130
2015,20,"wd","tap","X2",140
2015,21,"wd","tap","X2",120
2015,22,"wd","tap","X2",140
2015,23,"wd","tap","X2",150
2015,24,"wd","tap","X2",140
2015,25,"wd","tap","X2",140
2015,26,"wd","tap","X2",120
2015,27,"wd","tap","X2",130
2015,28,"wd","tap","X2",140
2015,29,"wd","tap","X2",-999999
2015,30,"wd","tap","X2",-999999
2015,31,"wd","tap","X2",-999999
2016,1,"wd","tap","X2",340
2016,2,"wd","tap","X2",340
2016,3,"wd","tap","X2",350
2016,4,"wd","tap","X2",350
2016,5,"wd","tap","X2",350
2016,6,"wd","tap","X2",360
2016,7,"wd","tap","X2",340
2016,8,"wd","tap","X2",250
2016,9,"wd","tap","X2",140
2016,10,"wd","tap","X2",140
2016,11,"wd","tap","X2",130
2016,12,"wd","tap","X2",150
2016,13,"wd","tap","X2",110
2016,14,"wd","tap","X2",340
2016,15,"wd","tap","X2",350
2016,16,"wd","tap","X2",\N
2016,17,"wd","tap","X2",\N
2016,18,"wd","tap","X2",340
2016,19,"wd","tap","X2",340
2016,20,"wd","tap","X2",340
2016,21,"wd","tap","X2",110
2016,22,"wd","tap","X2",140
2016,23,"wd","tap","X2",350
2016,24,"wd","tap","X2",350
2016,25,"wd","tap","X2",360
2016,26,"wd","tap","X2",350
2016,27,"wd","tap","X2",350
2016,28,"wd","tap","X2",120
2016,29,"wd","tap","X2",130
2016,30,"wd","tap","X2",-999999
2016,31,"wd","tap","X2",-999999
2014,1,"ws","tun","X3",7
2014,2,"ws","tun","X3",4.8
2014,3,"ws","tun","X3",10.6
2014,4,"ws","tun","X3",5.1
2014,5,"ws","tun","X3",7.7
2014,6,"ws","tun","X3",9.2
2014,7,"ws","tun","X3",7
2014,8,"ws","tun","X3",8.6
2014,9,"ws","tun","X3",9.7
2014,10,"ws","tun","X3",6.1
2014,11,"ws","tun","X3",10.8
2014,12,"ws","tun","X3",6.1
2014,13,"ws","tun","X3",8.5
2014,14,"ws","tun","X3",7.8
2014,15,"ws","tun","X3",4.2
2014,16,"ws","tun","X3",4.3
2014,17,"ws","tun","X3",4
2014,18,"ws","tun","X3",7
2014,19,"ws","tun","X3",6.1
2014,20,"ws","tun","X3",7.4
2014,21,"ws","tun","X3",10.6
2014,22,"ws","tun","X3",8.3
2014,23,"ws","tun","X3",8.6
2014,24,"ws","tun","X3",9
2014,25,"ws","tun","X3",7.1
2014,26,"ws","tun","X3",6
2014,27,"ws","tun","X3",8.1
2014,28,"ws","tun","X3",7.2
2014,29,"ws","tun","X3",5.6
2014,30,"ws","tun","X3",10.8
2014,31,"ws","tun","X3",7.8
